movie_id,title,release_year,director_id,genre,description,avg_vote,votes
30,Cidade de Deus,2002,30,"Crime, Drama","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",8.6,685856
31,Interstellar,2014,31,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,8.6,1449256
32,Gisaengchung,2019,32,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,8.6,470931
33,City Lights,1931,33,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8.5,162668
34,Modern Times,1936,34,"Comedy, Drama, Family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8.5,211250
35,Casablanca,1942,35,"Drama, Romance, War",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.5,509953
36,Psycho,1960,36,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",8.5,586765
37,C'era una volta il West,1968,37,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,8.5,295220
38,Back to the Future,1985,38,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",8.5,1027330
39,Hotaru no haka,1988,39,"Animation, Drama, War",A young boy and his little sister struggle to survive in Japan during World War II.,8.5,225438
40,Nuovo Cinema Paradiso,1988,40,Drama,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,8.5,223050
41,Terminator 2: Judgment Day,1991,41,"Action, Sci-Fi","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",8.5,974970
42,The Lion King,1994,42,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,917248
43,L̩on,1994,43,"Action, Crime, Drama","Mathilda, a 12-year-old girl, is reluctantly taken in by L̩on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his prot̩g̩e and learns the assassin's trade.",8.5,1007598
44,The Usual Suspects,1995,44,"Crime, Mystery, Thriller","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",8.5,968947
45,American History X,1998,45,Drama,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,8.5,1014218
46,Gladiator,2000,46,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,1308193
47,The Pianist,2002,47,"Biography, Drama, Music",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,8.5,707942
48,The Departed,2006,48,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,1159703
49,The Prestige,2006,49,"Drama, Mystery, Sci-Fi","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",8.5,1155723
50,Intouchables,2011,50,"Biography, Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",8.5,736691
51,Whiplash,2014,51,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,8.5,690732
52,Joker,2019,52,"Crime, Drama, Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.5,855097
53,The Great Dictator,1940,53,"Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,8.4,197381
54,Sunset Blvd.,1950,54,"Drama, Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,8.4,195789
55,Rear Window,1954,55,"Mystery, Thriller",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,8.4,432390
56,Paths of Glory,1957,56,"Drama, War","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",8.4,172671
57,Witness for the Prosecution,1957,57,"Crime, Drama, Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,8.4,104524
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,58,Comedy,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,8.4,441115
